Tinh,Huyen,Xa,KhuVuc,SoNguoiTrongHo,ChiTieuGiaoDucTrongNam,ChiTieuYTe,CTAnUongDipLeTrongNam,CTAnUongTrongThang,CTSinhHoatNgoaiAnUongTrongThang,CuaCaiTrongNam,CuaCaiGiaTriTrongNam,ChiTieuKhac,ChiTieuTaiSanKhongHaoMonTrong10Nam,ThueNhaDienNuocTrongNam,TongChiTieu,DieuTriNgoaiTru,DieuTriNoiTru,Thuoc,ThietBiYTe,Tuoi,GioiTinh,HoNgheo
1,1,4,1,6,2066.66674804688,117.5,334.666656494141,4911,2560,2788.33325195313,2788.33325195313,837.5,0,1306.33337402344,17710.333984375,108.333333333333,0,8.33333333333333,.833333333333333,60,0,0
1,1,4,1,2,0,8.33333301544189,184.66667175293,2103,1090,2769.16674804688,2769.16674804688,712.5,0,781,10417.833984375,0,0,8.33333333333333,0,61,1,0
1,1,4,1,4,833.333312988281,37.5,288.416656494141,3121,2000,2670.83325195313,2670.83325195313,316.666656494141,0,550.333312988281,12488.916015625,12.5,0,16.6666666666667,8.33333333333333,69,1,0
1,1,7,1,4,1041.66662597656,41.6666679382324,518.083312988281,3481,2308,1494.83337402344,1494.83337402344,183.33332824707,3166.66666666667,549,14279.0830078125,0,0,33.3333333333333,0,53,1,0
1,1,7,1,4,600,58.3333320617676,509.25,5979,3650,3120,3120,1025,0,582,18643.58203125,12.5,0,41.6666666666667,0,52,0,0
1,1,7,1,5,650,100,464,6120,2348,1560.83337402344,1560.83337402344,1083.33337402344,0,545,14431.9990234375,54.1666666666667,0,41.6666666666667,0,32,0,0
1,1,16,1,2,0,33.3333320617676,389.166656494141,3601,1320,2280,2280,462.5,2083.33333333333,389.333343505859,12838.666015625,0,0,25,8.33333333333333,56,1,0
1,1,16,1,3,166.66667175293,375,383.5,4400,1715,1716.66662597656,1716.66662597656,450,0,3799.33325195313,14722.8330078125,75,250,41.6666666666667,8.33333333333333,29,1,0
1,1,16,1,4,2080.83325195313,60,441.833343505859,4214,1627,2437.5,2437.5,508.333343505859,66.6666666666667,453.666656494141,14327.3330078125,0,0,25,8.33333333333333,49,1,0
1,1,22,1,5,425,109.583335876465,314,4506,2770,2602.5,2602.5,770,0,760,14859.583984375,50,0,41.6666666666667,4.16666666666667,69,0,0
1,1,22,1,4,896.666687011719,1298.33337402344,243.79167175293,3702,1935,1723.33337402344,1723.33337402344,647.5,0,538.666687011719,12708.625,106.666666666667,1091.66666666667,83.3333333333333,16.6666666666667,51,1,0
1,1,22,1,4,875,20.8333339691162,224.41667175293,5187.5,2595,2141.66674804688,2141.66674804688,481.666656494141,6775,450,20892.75,4.16666666666667,0,16.6666666666667,0,45,0,0
1,1,28,1,4,350,125,216.91667175293,4502,1499,2544.16674804688,2544.16674804688,550,2583.33333333333,4453.66650390625,19368.25,0,0,125,0,53,0,0
1,1,28,1,6,839.166687011719,52.5,215.91667175293,4993,2014,2305,2305,625,708.333333333333,601.333312988281,14659.25,0,0,25,0,68,0,0
1,1,28,1,6,441.666656494141,1459.16662597656,228,4790,1594,2434.16674804688,2434.16674804688,345.833343505859,166.666666666667,405.5,14299.1669921875,700.833333333333,166.666666666667,583.333333333333,8.33333333333333,59,0,0
1,1,34,1,4,0,100,528.5,7278,1978,1780.83337402344,1780.83337402344,1025,250,328.666656494141,15049.8330078125,75,0,25,0,67,1,0
1,1,34,1,3,316.666656494141,41.6666679382324,603.5,7865,2718,5394.16650390625,5365,333.333343505859,500,366,23503.333984375,0,0,41.6666666666667,0,34,1,0
1,1,34,1,5,0,583.333312988281,426.083343505859,6080,2088,1325,1325,166.66667175293,0,302.333343505859,12296.416015625,125,416.666666666667,41.6666666666667,0,56,0,0
1,2,40,1,4,191.66667175293,117.5,417.833343505859,4551,1025,998.75,998.75,325,0,245,8870.5,50,0,42.5,25,32,1,0
1,2,40,1,2,0,198.33332824707,210.75,2048.5,499,497.166656494141,497.166656494141,46.6666679382324,59.1666666666667,139.16667175293,4195.9169921875,125,0,38.3333333333333,8.33333333333333,64,0,0
1,2,40,1,4,300,84.1666641235352,424.75,4248,943,900.416687011719,900.416687011719,150.83332824707,58.3333333333333,176.66667175293,8186.5830078125,0,0,47.5,21.6666666666667,38,1,0
1,2,55,1,2,0,795.833312988281,272.291656494141,1907,772,701.25,701.25,305.833343505859,583.333333333333,656,6694.7919921875,179.166666666667,0,1000,166.666666666667,68,1,0
1,2,55,1,4,1850,206.66667175293,355,3637.5,1008,1022.83331298828,1022.83331298828,150.83332824707,0,552,9805.6669921875,86.6666666666667,0,58.3333333333333,16.6666666666667,54,1,0
1,2,55,1,3,0,58.3333320617676,661,2922,1485,1409.33337402344,1409.33337402344,458.333343505859,566.666666666667,9062,18032,0,0,41.6666666666667,16.6666666666667,59,1,0
1,2,67,1,2,0,231.25,206.83332824707,2178,480,129.16667175293,129.16667175293,41.6666679382324,0,242,3638.08349609375,104.166666666667,0,83.3333333333333,10.8333333333333,90,1,0
