STT,MSV,DQT,THI,TKHP
1,1754031757,8.5,6,7
2,1754031973,0,0,0
3,1754031624,5,0,2
4,1754030929,5.5,2,3.4
5,1754032082,9,6.5,7.5
6,1754031732,6.5,1.5,3.5
7,1754032052,3,1,1.8
8,1754031692,7,5,5.8
9,1754032013,6,3.5,4.5
10,1754031659,8,10,9.2
11,1754031943,7,5.5,6.1
12,1754031668,9,4.5,6.3
13,1754032191,6.5,3,4.4
14,1754031663,6,2.5,3.9
15,1754032183,6.5,5,5.6
16,1754032145,7,3,4.6
17,1552020078,8.5,8.5,8.5
18,1754032101,6.5,4.5,5.3
19,1754032019,7,6,6.4
20,1754031656,9.5,9.5,9.5
21,1754031590,8,10,9.2
22,1754031643,6.5,8,7.4
23,1754031870,5,3.5,4.1
24,1754031761,8.5,4.5,6.1
25,1754031861,3.5,1.5,2.3
26,1754031669,7,0,2.8
27,1754031937,9.5,8,8.6
28,1754031719,8,2.5,4.7
29,1754031587,7,9.5,8.5
30,1754032259,9,9,9
31,1754031658,9.5,10,9.8
32,1754031794,9,3.5,5.7
33,1754031686,6,3.5,4.5
34,1754031608,5.5,3.5,4.3
35,1754031832,6.5,7,6.8
36,1754032080,5.5,3.5,4.3
37,1754031784,9.5,8.5,8.9
38,1754031688,4,0,1.6
39,1754031665,8.5,9.5,9.1
40,1754032165,8,6,6.8
41,1754032125,7.5,8,7.8
42,1754031789,5.5,0,2.2
43,1454011633,9,5,6.6
44,1754032201,7,4,5.2
45,1754031698,7,5,5.8
46,1754031788,8,10,9.2
47,1754031793,7.5,7.5,7.5
48,1754031267,6,3,4.2
49,1754031853,5.5,2,3.4
50,1754031841,7,10,8.8
51,1754032000,5.5,2,3.4
52,1754031689,5,1.5,2.9
53,1754032104,0,0,0
54,1754031760,7.5,10,9
55,1754031617,8,8,8
56,1754031933,6.5,3,4.4
57,1754031585,6,4,4.8
58,1754031548,5.5,4,4.6
59,1754031899,5.5,1.5,3.1
60,1754031679,8.5,9.5,9.1
61,1754031851,7.5,6.5,6.9
62,1754031646,7,3.5,4.9
63,1454012308,10,10,10
64,1754031962,6,3.5,4.5
65,1754031532,9,10,9.6
66,1754031720,4,0,1.6
67,1754031902,9,5.5,6.9
68,1754031920,8,9,8.6
69,1754031607,10,10,10
70,1754031766,7,4,5.2
71,1754031518,6.5,5,5.6
72,1754031730,10,10,10
73,1754031706,9,3,5.4
74,1754032124,8,6.5,7.1
75,1754031801,7,6,6.4
76,1754031714,7.5,7,7.2
77,1754031848,6.5,5.5,5.9
78,1754031651,6.5,8,7.4
79,1754032054,4,1.5,2.5
80,1754031701,8,7.5,7.7
81,1754032127,6,2.5,3.9
82,1754032064,5.5,5,5.2
83,1754031737,8,7.5,7.7
84,1754031650,7,7,7
85,1754031634,7.5,5.5,6.3
86,1754031859,6.5,5.5,5.9
87,1754031814,8.5,7.5,7.9
88,1754032326,7.5,8.5,8.1
89,1754031715,8,5.5,6.5
90,1754031655,7.5,2.5,4.5
91,1754031782,8,9,8.6
92,1754031812,7,7,0
93,1754031968,5,3,3.8
94,1754032102,7.5,7.5,7.5
95,1754032096,6,7,6.6
96,1754031712,8,8.5,8.3
97,1754031631,7,7,7
98,1754032028,7.5,3,4.8
99,1754031685,8,7.5,7.7
100,1754031637,7,7.5,7.3
101,1754031874,7.5,8.5,8.1
102,1754031684,10,8,8.8
103,1754031461,7.5,8.5,8.1
104,1754031700,6.5,4,5
105,1754031813,8,8.5,8.3
106,1754031723,9,8.5,8.7
107,1754033556,8.5,7.5,7.9
108,1754031907,7,6.5,6.7
109,1754031672,4,9,7
110,1754032178,5.5,5,5.2
111,1754032263,4.5,1.5,2.7
112,1754031950,9,7,7.8
113,1754032128,6.5,5,5.6
114,1754031559,7,8,7.6
115,1754032091,4.5,4.5,4.5
116,1754031764,7,6,6.4
117,1754031917,9.5,9,9.2
118,1754031925,9,8.5,8.7
119,1754033554,7.5,8,7.8
120,1754031694,7.5,9.5,8.7
121,1754031648,8.5,5.5,6.7
122,1754031835,4.5,3,3.6
123,1754031754,8,8.5,8.3
124,1754031863,8,7,7.4
125,1754031844,6.5,7.5,7.1
126,1754031699,9,6,7.2
127,1754032024,6.5,4.5,5.3
128,1754031591,5,2,3.2
129,1754031626,8.5,10,9.4
130,1754031922,7.5,6.5,6.9
131,1754032173,6,4,4.8
132,1754031583,7,2.5,4.3
133,1754032158,6,6,6
134,1754032182,5.5,9.5,7.9
135,1754032045,7.5,6,6.6
136,1754031787,0,0,0
137,1754031995,7.5,4,5.4
138,1754032027,7,7.5,7.3
139,1754031755,7.5,5,6
140,1754031683,6.5,8,7.4
141,1754031647,7,5.5,6.1
142,1754031560,7.5,3.5,5.1
143,1754031703,7.5,6.5,6.9
